"source_census","county_cd","pk_gndr","cd_race","age_grouping_cd","measurement_year","pop_cnt"
"2000",3,0,2,1,"2000",220.87
"2000",3,0,2,2,"2000",228.78
"2000",3,0,2,3,"2000",226.06
"2000",3,0,2,4,"2000",181.25
"2000",3,0,3,0,"2000",602.37
"2000",3,0,3,1,"2000",153.71
"2000",3,0,3,2,"2000",186.61
"2000",3,0,3,3,"2000",171.71
"2000",3,0,3,4,"2000",90.34
"2000",3,0,4,0,"2000",58.61
"2000",3,0,4,1,"2000",14.76
"2000",3,0,4,2,"2000",19.1
"2000",3,0,4,3,"2000",13.93
"2000",3,0,4,4,"2000",10.81
"2000",3,0,5,0,"2000",39278.74
"2000",3,0,5,1,"2000",9884.95
"2000",3,0,5,2,"2000",10784.48
"2000",3,0,5,3,"2000",11534.27
"2000",3,0,5,4,"2000",7075.05
"2000",3,0,8,0,"2000",1173.65
"2000",3,0,8,1,"2000",397.18
"2000",3,0,8,2,"2000",340.54
"2000",3,0,8,3,"2000",273.53
"2000",3,0,8,4,"2000",162.41
"2000",3,0,9,0,"2000",8045.21
"2000",3,0,9,1,"2000",2627.3
"2000",3,0,9,2,"2000",2276.97
"2000",3,0,9,3,"2000",2021.4
"2000",3,0,9,4,"2000",1119.54
"2000",3,0,10,0,"2000",2154.18
"2000",3,0,10,1,"2000",605.53
"2000",3,0,10,2,"2000",625
"2000",3,0,10,3,"2000",543.07
"2000",3,0,10,4,"2000",380.59
"2000",3,0,11,0,"2000",31676.73
"2000",3,0,11,1,"2000",7432.37
"2000",3,0,11,2,"2000",8632.45
"2000",3,0,11,3,"2000",9601.85
"2000",3,0,11,4,"2000",6010.05
"2000",3,0,12,0,"2000",482.89
"2000",3,0,12,1,"2000",113.8
"2000",3,0,12,2,"2000",147.59
"2000",3,0,12,3,"2000",146.69
"2000",3,0,12,4,"2000",74.81
"2000",3,0,NA,0,"2000",42359.03
"2000",3,0,NA,1,"2000",10779
"2000",3,0,NA,2,"2000",11682
"2000",3,0,NA,3,"2000",12312.99
"2000",3,0,NA,4,"2000",7585
"2000",3,1,0,0,"2000",20696.01
"2000",3,1,0,1,"2000",5257
"2000",3,1,0,2,"2000",5775
"2000",3,1,0,3,"2000",6007
"2000",3,1,0,4,"2000",3657
"2000",3,1,1,0,"2000",198
"2000",3,1,1,1,"2000",51.75
"2000",3,1,1,2,"2000",62.41
"2000",3,1,1,3,"2000",49.27
"2000",3,1,1,4,"2000",34.57
"2000",3,1,2,0,"2000",447.19
"2000",3,1,2,1,"2000",117.44
"2000",3,1,2,2,"2000",117.14
"2000",3,1,2,3,"2000",124.85
"2000",3,1,2,4,"2000",87.75
"2000",3,1,3,0,"2000",289.21
"2000",3,1,3,1,"2000",75.25
"2000",3,1,3,2,"2000",97.46
"2000",3,1,3,3,"2000",75.59
"2000",3,1,3,4,"2000",40.9
"2000",3,1,4,0,"2000",23.73
"2000",3,1,4,1,"2000",8.04
"2000",3,1,4,2,"2000",4.91
"2000",3,1,4,3,"2000",5.86
"2000",3,1,4,4,"2000",4.91
"2000",3,1,5,0,"2000",19192.47
"2000",3,1,5,1,"2000",4822.26
"2000",3,1,5,2,"2000",5348.51
"2000",3,1,5,3,"2000",5615.23
"2000",3,1,5,4,"2000",3406.46
"2000",3,1,8,0,"2000",545.41
"2000",3,1,8,1,"2000",182.26
"2000",3,1,8,2,"2000",144.57
"2000",3,1,8,3,"2000",136.19
"2000",3,1,8,4,"2000",82.4
"2000",3,1,9,0,"2000",3922.34
"2000",3,1,9,1,"2000",1235.78
"2000",3,1,9,2,"2000",1126.24
"2000",3,1,9,3,"2000",1027.06
"2000",3,1,9,4,"2000",533.26
"2000",3,1,10,0,"2000",1066.08
"2000",3,1,10,1,"2000",299.17
"2000",3,1,10,2,"2000",288.2
"2000",3,1,10,3,"2000",288.37
"2000",3,1,10,4,"2000",190.32
"2000",3,1,11,0,"2000",15470.47
"2000",3,1,11,1,"2000",3668.24
"2000",3,1,11,2,"2000",4279.85
"2000",3,1,11,3,"2000",4623.55
"2000",3,1,11,4,"2000",2898.83
"2000",3,1,12,0,"2000",237.12
"2000",3,1,12,1,"2000",53.81
"2000",3,1,12,2,"2000",80.71
"2000",3,1,12,3,"2000",68.02
"2000",3,1,12,4,"2000",34.58
"2000",3,1,NA,0,"2000",20695.99
"2000",3,1,NA,1,"2000",5257
"2000",3,1,NA,2,"2000",5775.01
"2000",3,1,NA,3,"2000",6006.99
"2000",3,1,NA,4,"2000",3657
"2000",3,2,0,0,"2000",21663.01
"2000",3,2,0,1,"2000",5522
"2000",3,2,0,2,"2000",5907
"2000",3,2,0,3,"2000",6306
"2000",3,2,0,4,"2000",3928
"2000",3,2,1,0,"2000",190.67
"2000",3,2,1,1,"2000",55.78
"2000",3,2,1,2,"2000",60.08
"2000",3,2,1,3,"2000",44.23
"2000",3,2,1,4,"2000",30.59
"2000",3,2,2,0,"2000",409.77
"2000",3,2,2,1,"2000",103.43
"2000",3,2,2,2,"2000",111.64
"2000",3,2,2,3,"2000",101.21
"2000",3,2,2,4,"2000",93.49
"2000",3,2,3,0,"2000",313.17
"2000",3,2,3,1,"2000",78.46
"2000",3,2,3,2,"2000",89.15
"2000",3,2,3,3,"2000",96.12
"2000",3,2,3,4,"2000",49.44
"2000",3,2,4,0,"2000",34.88
"2000",3,2,4,1,"2000",6.72
